,Quarter,Tm,Detail,CHI,FRN
0,4.0,Bears,Bill Senn 62 yard rush,6,0
1,4.0,Yellow Jackets,Two-Bits Homan 27 yard pass from Hust Stockton (Tex Hamer kick),6,7
