,Quarter,Time,Tm,Detail,HOU,CLE
0,1.0,2:23,Texans,Kevin Walter 17 yard pass from Matt Schaub (Kris Brown kick),7,0
1,2.0,9:55,Browns,Braylon Edwards 19 yard pass from Derek Anderson (Phil Dawson kick),7,7
2,2.0,7:09,Texans,Kris Brown 41 yard field goal,10,7
3,2.0,0:16,Browns,Kellen Winslow 7 yard pass from Derek Anderson (Phil Dawson kick),10,14
4,3.0,7:24,Browns,Phil Dawson 25 yard field goal,10,17
5,4.0,8:32,Browns,Phil Dawson 27 yard field goal,10,20
6,4.0,5:48,Browns,Jamal Lewis 1 yard rush (Phil Dawson kick),10,27
7,4.0,3:12,Texans,Owen Daniels 6 yard pass from Matt Schaub (Kris Brown kick),17,27
