,Quarter,Tm,Detail,IND,HOU
0,1.0,Colts,Dean Biasucci 37 yard field goal,3,0
1,1.0,Oilers,Tony Zendejas 34 yard field goal,3,3
2,2.0,Oilers,Allen Pinkett 4 yard pass from Warren Moon (Tony Zendejas kick),3,10
3,3.0,Oilers,Mike Rozier 19 yard rush (Tony Zendejas kick),3,17
4,3.0,Oilers,Ray Wallace 35 yard pass from Warren Moon (Tony Zendejas kick),3,24
5,3.0,Oilers,Drew Hill 8 yard pass from Warren Moon (Tony Zendejas kick),3,31
6,4.0,Colts,Bill Brooks 16 yard pass from Blair Kiel (Dean Biasucci kick),10,31
7,4.0,Colts,Bill Brooks 37 yard pass from Blair Kiel (Dean Biasucci kick),17,31
