,Quarter,Tm,Detail,KAN,DET
0,2.0,Lions,Errol Mann 27 yard field goal,0,3
1,2.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),0,10
2,2.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),7,10
3,2.0,Lions,Charlie Sanders 5 yard pass from Greg Landry (Errol Mann kick),7,17
4,3.0,Lions,Earl McCullouch 17 yard pass from Greg Landry (Errol Mann kick),7,24
5,3.0,Lions,"Safety, Jessie blocked punt through end zone",7,26
6,3.0,Lions,Errol Mann 28 yard field goal,7,29
7,3.0,Chiefs,Ed Podolak 5 yard rush (Jan Stenerud kick),14,29
8,4.0,Lions,Errol Mann 21 yard field goal,14,32
9,4.0,Chiefs,Ed Podolak 6 yard rush (Jan Stenerud kick),21,32
