,Quarter,Time,Tm,Detail,WAS,DAL
0,2.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),0,7
1,2.0,,Redskins,Scott Blanton 21 yard field goal,3,7
2,3.0,,Redskins,Leslie Shepherd 26 yard pass from Gus Frerotte (Scott Blanton kick),10,7
3,3.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),10,14
4,4.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),10,21
