,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,10:35,Patriots,David Patten 29 yard rush (Adam Vinatieri kick),7,0
1,1.0,5:44,Colts,Mike Vanderjagt 42 yard field goal,7,3
2,2.0,8:56,Patriots,David Patten 91 yard pass from Tom Brady (Adam Vinatieri kick),14,3
3,2.0,7:11,Patriots,Troy Brown 60 yard pass from David Patten (Adam Vinatieri kick),21,3
4,2.0,1:17,Patriots,Jermaine Wiggins 2 yard pass from Tom Brady (Adam Vinatieri kick),28,3
5,2.0,0:11,Colts,Mike Vanderjagt 42 yard field goal,28,6
6,3.0,8:20,Colts,Marvin Harrison 2 yard pass from Peyton Manning (Ken Dilger pass from Peyton Manning),28,14
7,3.0,4:34,Patriots,Adam Vinatieri 43 yard field goal,31,14
8,3.0,1:31,Colts,Mike Vanderjagt 24 yard field goal,31,17
9,4.0,14:02,Patriots,David Patten 6 yard pass from Tom Brady (Adam Vinatieri kick),38,17
