,Quarter,Tm,Detail,CHI,GNB
0,1,Bears,Joey Sternaman 3 yard rush,6,0
1,2,Bears,Dick Sturtridge 80 yard punt return,12,0
2,3,Packers,Verne Lewellen 15 yard pass from Eddie Kotal,12,6
3,4,Packers,Verne Lewellen 2 yard rush,12,12
