,Quarter,Time,Tm,Detail,BUF,LAR
0,1.0,9:31,Rams,Greg Zuerlein 37 yard field goal,0,3
1,1.0,2:22,Bills,Justin Hunter 4 yard pass from Tyrod Taylor (Dan Carpenter kick),7,3
2,2.0,13:59,Bills,Mike Gillislee 5 yard rush (Dan Carpenter kick failed),13,3
3,2.0,7:46,Rams,Greg Zuerlein 32 yard field goal,13,6
4,2.0,1:56,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),13,13
5,2.0,0:00,Bills,Dan Carpenter 23 yard field goal,16,13
6,3.0,8:05,Rams,Greg Zuerlein 54 yard field goal,16,16
7,3.0,3:54,Bills,Nickell Robey-Coleman 41 yard interception return (Dan Carpenter kick),23,16
8,4.0,5:51,Rams,Greg Zuerlein 22 yard field goal,23,19
9,4.0,2:37,Bills,Marquise Goodwin 6 yard pass from Tyrod Taylor (Dan Carpenter kick),30,19
