,Quarter,Tm,Detail,ATL,MIA
0,1.0,Dolphins,Mark Higgs 14 yard rush (Pete Stoyanovich kick),0,7
1,2.0,Falcons,Mike Pritchard 18 yard pass from Chris Miller (Norm Johnson kick),7,7
2,2.0,Falcons,Norm Johnson 52 yard field goal,10,7
3,3.0,Falcons,Andre Rison 22 yard pass from Chris Miller (Norm Johnson kick),17,7
4,3.0,Dolphins,Vestee Jackson 30 yard interception return (Pete Stoyanovich kick),17,14
5,4.0,Dolphins,Mark Higgs 1 yard rush (Pete Stoyanovich kick),17,21
