,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Matt Stover 44 yard field goal,3,0
1,2.0,Browns,Leroy Hoard 46 yard pass from Mike Tomczak (Matt Stover kick),10,0
2,3.0,Browns,Stevon Moore 73 yard defensive fumble return (Matt Stover kick),17,0
3,4.0,Oilers,Webster Slaughter 12 yard pass from Cody Carlson (Al Del Greco kick),17,7
4,4.0,Browns,Mark Bavaro 17 yard pass from Mike Tomczak (Matt Stover kick),24,7
5,4.0,Oilers,Ernest Givins 18 yard pass from Cody Carlson (Al Del Greco kick),24,14
