,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Bobby Mitchell 90 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Ray Renfro 39 yard pass from Milt Plum (Lou Groza kick),14,0
2,1.0,Redskins,Dick James 4 yard rush (Sam Baker kick),14,7
3,2.0,Redskins,Johnny Olszewski 19 yard rush (Sam Baker kick),14,14
4,3.0,Browns,Lou Groza 35 yard field goal,17,14
5,3.0,Browns,Bobby Mitchell 5 yard rush (Lou Groza kick),24,14
6,3.0,Redskins,Sam Baker 14 yard field goal,24,17
7,4.0,Browns,Bobby Mitchell 23 yard rush (Lou Groza kick),31,17
