,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,9:03,Raiders,Sebastian Janikowski 28 yard field goal,3,0
1,1.0,2:19,Broncos,Jason Elam 27 yard field goal,3,3
2,2.0,12:55,Broncos,Jason Elam 25 yard field goal,3,6
3,2.0,7:48,Raiders,Charlie Garner 6 yard pass from Rich Gannon (Sebastian Janikowski kick),10,6
4,2.0,1:52,Broncos,Brian Griese 5 yard rush (Jason Elam kick),10,13
5,3.0,6:08,Raiders,Jeremy Brigham 1 yard pass from Rich Gannon (Sebastian Janikowski kick),17,13
6,4.0,9:59,Broncos,Rod Smith 12 yard pass from Brian Griese (Jason Elam kick),17,20
7,4.0,1:32,Broncos,Jason Elam 42 yard field goal,17,23
