,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Merton Hanks 67 yard interception return (Mike Cofer kick),0,7
1,2.0,49ers,John Taylor 26 yard pass from Steve Young (Mike Cofer kick),0,14
2,2.0,49ers,Jerry Rice 11 yard pass from Steve Young (Mike Cofer kick),0,21
3,2.0,49ers,Steve Young 7 yard rush (Mike Cofer kick),0,28
4,3.0,49ers,Marc Logan 5 yard rush (Mike Cofer kick),0,35
5,3.0,49ers,Jerry Rice 14 yard pass from Steve Young (Mike Cofer kick),0,42
6,4.0,Saints,Floyd Turner 6 yard pass from Mike Buck (Morten Andersen kick),7,42
