,Quarter,Time,Tm,Detail,STL,SEA
0,1.0,8:46,Seahawks,Rian Lindell 31 yard field goal,0,3
1,2.0,12:12,Seahawks,Rian Lindell 36 yard field goal,0,6
2,2.0,5:43,Rams,Jeff Wilkins 45 yard field goal,3,6
3,2.0,3:43,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),3,13
4,3.0,8:58,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),3,20
5,3.0,3:17,Rams,Torry Holt 5 yard pass from Jamie Martin (Jeff Wilkins kick),10,20
6,3.0,0:06,Seahawks,Rian Lindell 22 yard field goal,10,23
7,4.0,11:16,Seahawks,Darrell Jackson 38 yard pass from Matt Hasselbeck (Rian Lindell kick),10,30
