,Quarter,Time,Tm,Detail,KAN,SEA
0,2.0,4:41,Seahawks,Darrell Jackson 12 yard pass from Trent Dilfer (Rian Lindell kick),0,7
1,2.0,0:21,Seahawks,Darrell Jackson 18 yard pass from Trent Dilfer (Rian Lindell kick),0,14
2,3.0,12:11,Chiefs,Mikhael Ricks 1 yard pass from Trent Green (Todd Peterson kick),7,14
3,3.0,5:47,Chiefs,Todd Peterson 27 yard field goal,10,14
4,3.0,0:39,Seahawks,Shaun Alexander 44 yard rush (Rian Lindell kick),10,21
5,4.0,0:51,Chiefs,Tony Richardson 1 yard rush (Eddie Kennison pass from Trent Green),18,21
