,Quarter,Tm,Detail,PIT,CLE
0,2.0,Steelers,Gary Anderson 19 yard field goal,3,0
1,3.0,Browns,Anthony Blaylock 30 yard defensive fumble return (Jerry Kauric kick),3,7
2,3.0,Browns,Jerry Kauric 28 yard field goal,3,10
3,4.0,Browns,Jerry Kauric 47 yard field goal,3,13
