,Quarter,Tm,Detail,IND,TAM
0,1.0,Colts,George Wonsley 7 yard rush (Raul Allegre kick),7,0
1,1.0,Buccaneers,James Wilder 9 yard rush (Donald Igwebuike kick),7,7
2,2.0,Buccaneers,Donald Igwebuike 48 yard field goal,7,10
3,2.0,Colts,Raul Allegre 33 yard field goal,10,10
4,2.0,Colts,George Wonsley 3 yard rush (Raul Allegre kick),17,10
5,2.0,Buccaneers,Kevin House 44 yard pass from Steve Young (Donald Igwebuike kick),17,17
6,4.0,Buccaneers,Steve Young 1 yard rush,17,23
7,4.0,Colts,Mike Pagel 3 yard rush (Raul Allegre kick),24,23
8,4.0,Colts,Albert Bentley 26 yard rush (Raul Allegre kick),31,23
