,Quarter,Tm,Detail,SFO,PIT
0,1.0,49ers,Jim Cason 65 yard interception return (Gordie Soltau kick),7,0
1,2.0,Steelers,Elbie Nickel 77 yard pass from Joe Geri (Joe Geri kick),7,7
2,2.0,Steelers,Joe Geri 16 yard field goal,7,10
3,3.0,49ers,Jim Monachino 7 yard rush (Gordie Soltau kick),14,10
4,3.0,49ers,Joe Perry 4 yard pass from Frankie Albert (Gordie Soltau kick),21,10
5,3.0,49ers,Pete Schabarum 8 yard rush (Gordie Soltau kick),28,10
6,4.0,Steelers,Lynn Chandnois 8 yard pass from Ray Mathews (Joe Geri kick),28,17
7,4.0,Steelers,Elbie Nickel 22 yard pass from Ray Mathews (Joe Geri kick),28,24
