,Quarter,Tm,Detail,CLE,MIA
0,2.0,Dolphins,Mark Clayton 11 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,2.0,Browns,Earnest Byner 39 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,2.0,Browns,Matt Bahr 33 yard field goal,10,7
3,2.0,Dolphins,Jim Jensen 2 yard pass from Dan Marino (Fuad Reveiz kick),10,14
4,2.0,Dolphins,Fuad Reveiz 35 yard field goal,10,17
5,3.0,Dolphins,Lorenzo Hampton 2 yard pass from Dan Marino (Fuad Reveiz kick),10,24
6,3.0,Browns,Bernie Kosar 2 yard rush (Matt Bahr kick),17,24
7,4.0,Dolphins,Mark Clayton 9 yard pass from Dan Marino (Fuad Reveiz kick),17,31
8,4.0,Browns,Reggie Langhorne 3 yard pass from Don Strock (Matt Bahr kick),24,31
9,4.0,Browns,Reggie Langhorne 2 yard pass from Don Strock (Matt Bahr kick),31,31
10,4.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),31,38
