,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,12:06,Patriots,Andy Katzenmoyer 57 yard interception return (Adam Vinatieri kick),0,7
1,1.0,8:04,Patriots,Ty Law 27 yard interception return (Adam Vinatieri kick),0,14
2,1.0,1:04,Dolphins,Olindo Mare 20 yard field goal,3,14
3,2.0,11:29,Dolphins,Olindo Mare 33 yard field goal,6,14
4,2.0,7:48,Dolphins,Tony Martin 69 yard pass from Damon Huard (Olindo Mare kick),13,14
5,2.0,6:40,Patriots,Adam Vinatieri 41 yard field goal,13,17
6,2.0,1:26,Dolphins,Olindo Mare 45 yard field goal,16,17
7,2.0,0:23,Patriots,Tony Simmons 29 yard pass from Drew Bledsoe (Adam Vinatieri kick),16,24
8,2.0,0:02,Dolphins,Olindo Mare 45 yard field goal,19,24
9,3.0,12:23,Patriots,Adam Vinatieri 39 yard field goal,19,27
10,4.0,13:25,Dolphins,Olindo Mare 41 yard field goal,22,27
11,4.0,9:05,Patriots,Adam Vinatieri 34 yard field goal,22,30
12,4.0,2:45,Dolphins,Olindo Mare 53 yard field goal,25,30
13,4.0,0:23,Dolphins,Stanley Pritchett 5 yard pass from Damon Huard (pass failed),31,30
