,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,5:40,Buccaneers,Matt Gay 40 yard field goal,3,0
1,1.0,2:56,Panthers,Joey Slye 32 yard field goal,3,3
2,2.0,8:30,Panthers,Joey Slye 37 yard field goal,3,6
3,2.0,1:25,Buccaneers,Chris Godwin 20 yard pass from Jameis Winston (Matt Gay kick),10,6
4,2.0,0:03,Panthers,Joey Slye 54 yard field goal,10,9
5,3.0,7:58,Panthers,Joey Slye 51 yard field goal,10,12
6,3.0,4:25,Buccaneers,Peyton Barber 16 yard rush (Matt Gay kick),17,12
7,4.0,13:30,Panthers,"Safety, Peyton Barber tackled in end zone by Luke Kuechly",17,14
8,4.0,2:30,Buccaneers,Matt Gay 32 yard field goal,20,14
