,Quarter,Time,Tm,Detail,OAK,PIT
0,1.0,10:13,Steelers,Bobby Shaw 19 yard pass from Kordell Stewart (Kris Brown kick),0,7
1,2.0,14:11,Raiders,Sebastian Janikowski 40 yard field goal,3,7
2,2.0,13:54,Raiders,Eric Allen 27 yard interception return (Sebastian Janikowski kick),10,7
3,2.0,1:06,Raiders,Randy Jordan 21 yard pass from Rich Gannon (Sebastian Janikowski kick),17,7
4,3.0,5:50,Steelers,Mark Bruener 6 yard pass from Kordell Stewart (Kris Brown kick),17,14
5,4.0,14:48,Steelers,Kordell Stewart 17 yard rush (Kris Brown kick),17,21
6,4.0,11:38,Raiders,Sebastian Janikowski 42 yard field goal,20,21
