,Quarter,Time,Tm,Detail,SEA,PHI
0,1.0,7:31,Eagles,Jake Elliott 28 yard field goal,0,3
1,1.0,6:03,Seahawks,Malik Turner 33 yard pass from Russell Wilson (Jason Myers kick),7,3
2,2.0,7:16,Seahawks,Jason Myers 24 yard field goal,10,3
3,4.0,12:06,Seahawks,Rashaad Penny 58 yard rush (Jason Myers kick),17,3
4,4.0,0:23,Eagles,Zach Ertz 2 yard pass from Carson Wentz (run failed),17,9
