,Quarter,Tm,Detail,BUF,CLE
0,2.0,Browns,Don Cockroft 21 yard field goal,0,3
1,2.0,Bills,O.J. Simpson 41 yard rush (John Leypoldt kick),7,3
2,2.0,Bills,John Leypoldt 41 yard field goal,10,3
3,2.0,Bills,"Safety, Kadish tackled Sipe in end zone",12,3
4,4.0,Bills,John Leypoldt 42 yard field goal,15,3
5,4.0,Browns,Ken Brown 3 yard pass from Mike Phipps (Don Cockroft kick),15,10
