,Quarter,Tm,Detail,CLE,WAS
0,1,Browns,Lou Groza 20 yard field goal,3,0
1,2,Browns,Walter Roberts 80 yard pass from Frank Ryan (Lou Groza kick),10,0
2,3,Browns,Gary Collins 35 yard pass from Frank Ryan (Lou Groza kick),17,0
3,4,Redskins,Angelo Coia 21 yard pass from Dick Shiner (Bob Jencks kick),17,7
