,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Nat Moore 13 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Dolphins,Freddie Solomon 54 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,2.0,Dolphins,Norm Bulaich 3 yard rush (Garo Yepremian kick),0,21
3,3.0,Dolphins,Garo Yepremian 48 yard field goal,0,24
4,4.0,Bills,Lou Piccone 11 yard pass from Joe Ferguson (Carson Long kick),7,24
5,4.0,Dolphins,Gary Davis 60 yard rush (Garo Yepremian kick),7,31
6,4.0,Bills,Joe Ferguson 1 yard rush (Carson Long kick),14,31
