,Quarter,Tm,Detail,SFO,NWE
0,2.0,49ers,Jerry Rice 32 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,49ers,Mike Cofer 36 yard field goal,10,0
2,2.0,Patriots,Charlie Baumann 24 yard field goal,10,3
3,3.0,Patriots,Charlie Baumann 44 yard field goal,10,6
4,3.0,Patriots,Ben Coates 11 yard pass from Hugh Millen,10,12
5,4.0,49ers,Ricky Watters 2 yard pass from Steve Young (Mike Cofer kick),17,12
6,4.0,49ers,Ricky Watters 1 yard rush (Mike Cofer kick),24,12
