,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),0,7
1,2.0,,Colts,Tony Bennett 75 yard defensive fumble return (Dean Biasucci kick),0,14
2,2.0,,Colts,Floyd Turner 4 yard pass from Jim Harbaugh (Dean Biasucci kick),0,21
3,2.0,,Colts,Floyd Turner 9 yard pass from Jim Harbaugh (Dean Biasucci kick),0,28
4,2.0,,Colts,Marshall Faulk 2 yard rush (Dean Biasucci kick),0,35
5,3.0,,Colts,Marshall Faulk 11 yard rush (Dean Biasucci kick),0,42
6,4.0,,Oilers,Pat Carter 2 yard pass from Bucky Richardson (Gary Brown pass from Bucky Richardson ),8,42
7,4.0,,Colts,Dean Biasucci 42 yard field goal,8,45
8,4.0,,Oilers,Haywood Jeffires 16 yard pass from Bucky Richardson (pass failed),14,45
9,4.0,,Oilers,Haywood Jeffires 15 yard pass from Bucky Richardson (Al Del Greco kick),21,45
