,Quarter,Tm,Detail,BAL,HOU
0,1.0,Colts,Jack Maitland 2 yard rush (Jim O'Brien kick),7,0
1,2.0,Colts,Roy Jefferson 17 yard pass from Johnny Unitas (Jim O'Brien kick),14,0
2,2.0,Oilers,Jerry LeVias 7 yard pass from Charley Johnson (Roy Gerela kick),14,7
3,2.0,Colts,Jim O'Brien 43 yard field goal,17,7
4,3.0,Oilers,Roy Hopkins 1 yard rush (Roy Gerela kick),17,14
5,4.0,Oilers,Roy Gerela 27 yard field goal,17,17
6,4.0,Oilers,Roy Gerela 9 yard field goal,17,20
7,4.0,Colts,Roy Jefferson 31 yard pass from Johnny Unitas (Jim O'Brien kick),24,20
