,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,11:42,Chiefs,Todd Peterson 23 yard field goal,0,3
1,2.0,13:23,Chiefs,Tony Richardson 1 yard rush (Todd Peterson kick),0,10
2,2.0,4:33,Seahawks,Shaun Alexander 28 yard pass from Matt Hasselbeck (Rian Lindell kick),7,10
3,4.0,11:47,Chiefs,Todd Peterson 26 yard field goal,7,13
4,4.0,5:45,Chiefs,Mike Cloud 15 yard rush (run failed),7,19
