,Quarter,Time,Tm,Detail,ARI,WAS
0,1.0,11:43,Cardinals,Joe Nedney 26 yard field goal,3,0
1,1.0,8:56,Cardinals,Johnny McWilliams 6 yard pass from Jake Plummer (Joe Nedney kick),10,0
2,1.0,4:44,Cardinals,Jake Plummer 1 yard rush (Joe Nedney kick),17,0
3,2.0,10:18,Cardinals,Adrian Murrell 13 yard rush (Joe Nedney kick),24,0
4,2.0,4:05,Cardinals,Jake Plummer 10 yard rush (Joe Nedney kick),31,0
5,2.0,0:53,Redskins,Michael Westbrook 15 yard pass from Trent Green,31,6
6,3.0,10:23,Redskins,Michael Westbrook 12 yard pass from Trent Green (Cary Blanchard kick),31,13
7,3.0,4:01,Cardinals,Larry Centers 9 yard pass from Jake Plummer (Joe Nedney kick),38,13
8,3.0,2:01,Redskins,Michael Westbrook 11 yard pass from Trent Green (Cary Blanchard kick),38,20
9,3.0,0:14,Redskins,Leslie Shepherd 16 yard pass from Trent Green (Cary Blanchard kick),38,27
10,4.0,9:18,Redskins,Skip Hicks 5 yard rush (Leslie Shepherd pass from Trent Green),38,35
11,4.0,3:49,Cardinals,Jake Plummer 1 yard rush (Joe Nedney kick),45,35
12,4.0,1:46,Redskins,Trent Green 2 yard rush (Cary Blanchard kick),45,42
