,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,11:03,Raiders,Sebastian Janikowski 27 yard field goal,0,3
1,1.0,4:18,Chiefs,Derrick Blaylock 20 yard pass from Trent Green (Lawrence Tynes kick),7,3
2,1.0,1:06,Raiders,Sebastian Janikowski 36 yard field goal,7,6
3,2.0,9:00,Raiders,Ronald Curry 34 yard pass from Kerry Collins (Sebastian Janikowski kick),7,13
4,2.0,5:58,Raiders,Jerry Porter 51 yard pass from Kerry Collins (Sebastian Janikowski kick),7,20
5,2.0,0:14,Chiefs,Lawrence Tynes 28 yard field goal,10,20
6,3.0,10:23,Chiefs,Larry Johnson 5 yard rush (Lawrence Tynes kick),17,20
7,3.0,4:16,Chiefs,Larry Johnson 10 yard pass from Trent Green (Lawrence Tynes kick),24,20
8,4.0,14:13,Raiders,Ronald Curry 26 yard pass from Kerry Collins (Sebastian Janikowski kick),24,27
9,4.0,6:59,Chiefs,Lawrence Tynes 22 yard field goal,27,27
10,4.0,2:04,Chiefs,Eddie Kennison 70 yard pass from Trent Green (Lawrence Tynes kick),34,27
