,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,,Panthers,John Kasay 22 yard field goal,3,0
1,1.0,2:00,Saints,Mario Bates 4 yard rush (Doug Brien kick),3,7
2,2.0,2:00,Saints,Quinn Early 27 yard pass from Jim Everett (Doug Brien kick),3,14
3,2.0,2:00,Panthers,Willie Green 60 yard pass from Kerry Collins (Walter Rasby pass from Kerry Collins),11,14
4,2.0,2:00,Saints,Doug Brien 45 yard field goal,11,17
5,3.0,2:00,Saints,Doug Brien 39 yard field goal,11,20
6,3.0,2:00,Saints,Mario Bates 6 yard rush (Doug Brien kick),11,27
7,3.0,2:00,Panthers,Mark Carrier 3 yard pass from Kerry Collins (Bob Christian pass from Kerry Collins),19,27
8,4.0,2:00,Saints,Derek Brown 35 yard rush (Doug Brien kick),19,34
9,4.0,2:00,Panthers,Mark Carrier 60 yard pass from Kerry Collins (John Kasay kick),26,34
