,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),7,0
1,1.0,,Buccaneers,Dave Moore 3 yard pass from Trent Dilfer (Michael Husted kick),7,7
2,2.0,,Buccaneers,Errict Rhett 3 yard rush (Michael Husted kick),7,14
3,2.0,,Buccaneers,Karl Williams 88 yard punt return (Michael Husted kick),7,21
4,2.0,,Buccaneers,Courtney Hawkins 15 yard pass from Trent Dilfer (Michael Husted kick),7,28
5,2.0,,Buccaneers,Michael Husted 50 yard field goal,7,31
6,4.0,,Buccaneers,Michael Husted 22 yard field goal,7,34
7,4.0,,Bears,Bobby Engram 6 yard pass from Shane Matthews (pass failed),13,34
8,4.0,,Bears,Shane Matthews 2 yard rush (pass failed),19,34
