,Quarter,Time,Tm,Detail,CHI,NWE
0,1.0,,Patriots,Vincent Brisby 7 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,2.0,,Patriots,Troy Brown 52 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,14
2,3.0,,Bears,Jeff Jaeger 38 yard field goal,3,14
3,4.0,,Patriots,Adam Vinatieri 27 yard field goal,3,17
4,4.0,7:16,Patriots,Curtis Martin 70 yard rush (Adam Vinatieri kick),3,24
5,4.0,7:16,Patriots,Lovett Purnell 20 yard pass from Scott Zolak (Adam Vinatieri kick),3,31
