,Quarter,Tm,Detail,POT,CHI
0,2.0,Maroons,Johnny Blood unknown yard pass from Hap Moran,6,0
1,2.0,Bears,Joey Sternaman unknown yard rush (Joey Sternaman kick),6,7
2,3.0,Bears,Bill Senn unknown yard pass from Paddy Driscoll,6,13
