,Quarter,Tm,Detail,SFO,DET
0,2.0,Lions,Howard Cassady 2 yard rush (Bobby Layne kick),0,7
1,2.0,Lions,Jim Doran 65 yard pass from Bobby Layne (Bobby Layne kick),0,14
2,2.0,49ers,Gordie Soltau 22 yard field goal,3,14
3,2.0,Lions,John Henry Johnson 3 yard rush (Bobby Layne kick),3,21
4,3.0,Lions,Jim Martin 22 yard field goal,3,24
5,4.0,Lions,Steve Junker 7 yard pass from Tobin Rote (Bobby Layne kick),3,31
6,4.0,49ers,Billy Wilson 20 yard pass from John Brodie (Gordie Soltau kick),10,31
