,Quarter,Tm,Detail,GNB,ATL
0,1.0,Packers,Boyd Dowler 9 yard pass from Bart Starr (Jerry Kramer kick),7,0
1,2.0,Falcons,Perry Lee Dunn 1 yard rush (Bob Etter kick),7,7
2,2.0,Packers,Chuck Mercein 21 yard field goal,10,7
3,3.0,Packers,Donny Anderson 11 yard rush (Chuck Mercein kick),17,7
4,3.0,Packers,Marv Fleming 1 yard pass from Bart Starr (Chuck Mercein kick),24,7
5,3.0,Packers,Claudis James 23 yard pass from Bart Starr (Chuck Mercein kick),31,7
6,4.0,Packers,Claudis James 12 yard pass from Donny Anderson (Chuck Mercein kick),38,7
