,Quarter,Tm,Detail,BUF,CLE
0,1.0,Bills,O.J. Simpson 6 yard rush (John Leypoldt kick),7,0
1,1.0,Bills,John Leypoldt 38 yard field goal,10,0
2,2.0,Browns,Don Cockroft 33 yard field goal,10,3
3,2.0,Browns,Leroy Kelly 13 yard pass from Mike Phipps (Don Cockroft kick),10,10
4,3.0,Browns,Ken Brown 1 yard rush (Don Cockroft kick),10,17
5,4.0,Browns,Nick Roman 36 yard interception return (Don Cockroft kick),10,24
6,4.0,Browns,Don Cockroft 49 yard field goal,10,27
