,Quarter,Time,Tm,Detail,KAN,MIN
0,2.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),7,0
1,4.0,,Chiefs,Greg Hill 17 yard rush (Pete Stoyanovich kick),14,0
2,4.0,3:32,Chiefs,Greg Hill 10 yard rush (Pete Stoyanovich kick),21,0
3,4.0,3:32,Vikings,Cris Carter 1 yard pass from Brad Johnson (pass failed),21,6
