,Quarter,Time,Tm,Detail,SDG,DET
0,1.0,5:20,Lions,Germane Crowell 41 yard pass from Charlie Batch (Jason Hanson kick),0,7
1,2.0,13:22,Chargers,John Carney 33 yard field goal,3,7
2,2.0,6:53,Lions,Jason Hanson 23 yard field goal,3,10
3,2.0,0:42,Chargers,Tremayne Stephens 3 yard rush (John Carney kick),10,10
4,3.0,9:48,Chargers,John Carney 24 yard field goal,13,10
5,4.0,7:52,Chargers,Darryll Lewis 42 yard defensive fumble return (John Carney kick),20,10
