,Quarter,Time,Tm,Detail,DEN,MIN
0,1.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),7,0
1,2.0,,Vikings,Scott Sisson 27 yard field goal,7,3
2,2.0,,Vikings,Chris Walsh 7 yard pass from Brad Johnson (Scott Sisson kick),7,10
3,2.0,,Broncos,Terrell Davis 1 yard pass from John Elway (Jason Elam kick),14,10
4,3.0,,Vikings,Cris Carter 11 yard pass from Brad Johnson (Scott Sisson kick),14,17
5,4.0,,Broncos,Ed McCaffrey 5 yard pass from John Elway (Jason Elam kick),21,17
