,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Eddie Murray 35 yard field goal,3,0
1,2.0,Cowboys,Kevin Williams 11 yard rush (Eddie Murray kick),10,0
2,2.0,Eagles,Herschel Walker 3 yard pass from Ken O'Brien (Matt Bahr kick),10,7
3,3.0,Cowboys,Eddie Murray 23 yard field goal,13,7
4,4.0,Eagles,Matt Bahr 33 yard field goal,13,10
5,4.0,Cowboys,Eddie Murray 40 yard field goal,16,10
6,4.0,Cowboys,Emmitt Smith 62 yard rush (Eddie Murray kick),23,10
