,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Greg Brown defensive fumble recovery in end zone (Tony Franklin kick),7,0
1,1.0,Cowboys,Butch Johnson 33 yard pass from Danny White (Rafael Septien kick),7,7
2,2.0,Eagles,Leroy Harris 1 yard rush (Tony Franklin kick),14,7
3,2.0,Cowboys,Doug Cosbie 11 yard pass from Danny White (Rafael Septien kick),14,14
4,2.0,Cowboys,Rafael Septien 18 yard field goal,14,17
5,4.0,Cowboys,Rafael Septien 33 yard field goal,14,20
6,4.0,Eagles,Harold Carmichael 10 yard pass from Ron Jaworski (Tony Franklin kick),21,20
7,4.0,Eagles,Tony Franklin 22 yard field goal,24,20
