,Quarter,Time,Tm,Detail,KAN,JAX
0,1.0,,Jaguars,Pete Mitchell 5 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,2.0,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),0,14
2,2.0,,Chiefs,Pete Stoyanovich 45 yard field goal,3,14
3,2.0,,Jaguars,Natrone Means 14 yard rush (Mike Hollis kick),3,21
4,2.0,,Jaguars,Mike Hollis 52 yard field goal,3,24
5,4.0,,Chiefs,Danan Hughes 7 yard offensive fumble return (Pete Stoyanovich kick),10,24
