,Quarter,Tm,Detail,OAK,BAL
0,1.0,Raiders,George Blanda 27 yard field goal,3,0
1,2.0,Raiders,Mike Siani 26 yard pass from Ken Stabler (George Blanda kick),10,0
2,2.0,Raiders,George Blanda 30 yard field goal,13,0
3,3.0,Colts,Glenn Doughty 40 yard pass from Marty Domres (George Hunt kick),13,7
4,3.0,Raiders,Bob Moore 9 yard pass from Ken Stabler (George Blanda kick),20,7
5,4.0,Raiders,Clarence Davis 9 yard rush (George Blanda kick),27,7
6,4.0,Colts,Lydell Mitchell 1 yard rush (George Hunt kick),27,14
7,4.0,Colts,Raymond Chester 15 yard pass from Marty Domres (George Hunt kick),27,21
8,4.0,Raiders,Clarence Davis 32 yard rush (George Blanda kick),34,21
