,Quarter,Tm,Detail,NYG,PRV
0,2.0,Steam Roller,Franny Garvey blocked punt recovery in end zone (Dutch Connor kick),0,7
1,2.0,Steam Roller,Cy Wentworth 92 yard kickoff return (Dutch Connor kick),0,14
