,Quarter,Tm,Detail,DEN,SFO
0,1,49ers,Mike Cofer 37 yard field goal,0,3
1,2,Broncos,Rich Karlis 27 yard field goal,3,3
2,2,49ers,Joe Montana 6 yard rush (Mike Cofer kick),3,10
3,3,Broncos,Rich Karlis 27 yard field goal,6,10
4,3,49ers,Mike Cofer 27 yard field goal,6,13
5,4,Broncos,Vance Johnson 8 yard pass from John Elway (Rich Karlis kick),13,13
6,OT,Broncos,Rich Karlis 22 yard field goal,16,13
