,Quarter,Tm,Detail,ATL,BAL
0,1.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),0,7
1,1.0,Colts,Willie Richardson 34 yard pass from Earl Morrall (Lou Michaels kick),0,14
2,2.0,Colts,John Mackey 41 yard pass from Earl Morrall (Lou Michaels kick),0,21
3,2.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),0,28
4,3.0,Colts,Lou Michaels 16 yard field goal,0,31
5,3.0,Colts,Lou Michaels 35 yard field goal,0,34
6,4.0,Colts,Lou Michaels 22 yard field goal,0,37
7,4.0,Colts,Terry Cole 7 yard rush (Lou Michaels kick),0,44
