,Quarter,Tm,Detail,NYG,POT
0,2.0,Giants,Jack McBride 27 yard field goal,3,0
1,3.0,Giants,Doc Alexander 35 yard fumble return,9,0
2,3.0,Giants,Jack McBride 18 yard field goal,12,0
3,4.0,Giants,Mule Wilson 2 yard rush (Jack McBride kick),19,0
