,Quarter,Tm,Detail,MIA,BAL
0,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),0,7
1,2.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),7,7
2,2.0,Colts,Glenn Doughty 10 yard pass from Bert Jones (Toni Linhart kick),7,14
3,2.0,Colts,Bert Jones 7 yard rush (Toni Linhart kick),7,21
4,3.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),7,28
5,3.0,Dolphins,Nat Moore 67 yard pass from Earl Morrall (Garo Yepremian kick),14,28
