,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,3:34,Jets,John Hall 45 yard field goal,0,3
1,1.0,1:33,Jets,John Hall 39 yard field goal,0,6
2,2.0,9:15,Jets,Richie Anderson 18 yard pass from Ray Lucas (John Hall kick),0,13
3,2.0,6:22,Colts,Terrence Wilkins 22 yard pass from Peyton Manning (Mike Vanderjagt kick),7,13
4,3.0,4:59,Colts,Mike Vanderjagt 31 yard field goal,10,13
5,4.0,12:06,Colts,Mike Vanderjagt 18 yard field goal,13,13
6,4.0,0:14,Colts,Mike Vanderjagt 27 yard field goal,16,13
