,Quarter,Time,Tm,Detail,MIN,ARI
0,1.0,,Vikings,Andrew Glover 18 yard pass from Brad Johnson (Eddie Murray kick),7,0
1,1.0,,Cardinals,Kevin Butler 23 yard field goal,7,3
2,2.0,,Vikings,Eddie Murray 49 yard field goal,10,3
3,2.0,,Cardinals,Chris Gedney 33 yard pass from Kent Graham (Kevin Butler kick),10,10
4,2.0,,Cardinals,Kevin Butler 23 yard field goal,10,13
5,3.0,,Cardinals,Kevin Butler 28 yard field goal,10,16
6,4.0,,Cardinals,Kevin Butler 49 yard field goal,10,19
7,4.0,,Vikings,Cris Carter 1 yard pass from Brad Johnson (Eddie Murray kick),17,19
8,4.0,,Vikings,Eddie Murray 38 yard field goal,20,19
