,Quarter,Time,Tm,Detail,NYG,CHI
0,1.0,9:58,Bears,Desmond Clark 1 yard pass from Rex Grossman (Robbie Gould kick),0,7
1,2.0,10:25,Giants,Derrick Ward 2 yard rush (Lawrence Tynes kick),7,7
2,2.0,4:38,Bears,Robbie Gould 35 yard field goal,7,10
3,2.0,0:00,Bears,Robbie Gould 46 yard field goal,7,13
4,3.0,10:52,Bears,Robbie Gould 41 yard field goal,7,16
5,4.0,6:54,Giants,Amani Toomer 6 yard pass from Eli Manning (Lawrence Tynes kick),14,16
6,4.0,1:33,Giants,Reuben Droughns 2 yard rush (Lawrence Tynes kick),21,16
