,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Don Hutson 33 yard pass from Irv Comp (Don Hutson kick),7,0
1,2.0,Packers,Irv Comp 14 yard rush (Don Hutson kick),14,0
2,2.0,Packers,Joe Laws 2 yard rush (Don Hutson kick),21,0
3,3.0,Rams,Albie Reisz 46 yard rush (Lou Zontini kick),21,7
4,3.0,Packers,Joe Laws 4 yard rush (Don Hutson kick),28,7
5,4.0,Packers,Don Hutson 15 yard pass from Irv Comp (Don Hutson kick),35,7
6,4.0,Packers,Paul Duhart 26 yard pass from Roy McKay (Don Hutson kick),42,7
