,Quarter,Time,Tm,Detail,CLE,JAX
0,1.0,11:12,Browns,Phil Dawson 35 yard field goal,3,0
1,2.0,3:18,Browns,Jamel White 4 yard rush (Phil Dawson kick),10,0
2,2.0,0:11,Browns,Phil Dawson 28 yard field goal,13,0
3,3.0,9:43,Jaguars,Keenan McCardell 8 yard pass from Jonathan Quinn (Mike Hollis kick),13,7
4,3.0,8:53,Jaguars,Aaron Beasley 40 yard defensive fumble return (Mike Hollis kick),13,14
5,4.0,5:13,Browns,Phil Dawson 30 yard field goal,16,14
6,4.0,0:35,Browns,Daylon McCutcheon 32 yard interception return (Phil Dawson kick),23,14
