,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Vance Johnson 4 yard pass from John Elway (David Treadwell kick),0,7
1,1.0,Broncos,Bobby Humphrey 4 yard rush (David Treadwell kick),0,14
2,2.0,Broncos,David Treadwell 30 yard field goal,0,17
3,2.0,Broncos,Vance Johnson 10 yard pass from John Elway (David Treadwell kick),0,24
4,2.0,Broncos,Steve Sewell 32 yard pass from John Elway (David Treadwell kick),0,31
5,2.0,Broncos,Mike Young 9 yard pass from John Elway (David Treadwell kick),0,38
6,3.0,Seahawks,Derrick Fenner 5 yard rush (Norm Johnson kick),7,38
7,4.0,Broncos,David Treadwell 45 yard field goal,7,41
8,4.0,Seahawks,Steve Largent 31 yard pass from Dave Krieg (Norm Johnson kick),14,41
