,Quarter,Time,Tm,Detail,ARI,MIN
0,1.0,9:18,Vikings,Adrian Peterson 4 yard rush (Ryan Longwell kick),0,7
1,1.0,8:55,Vikings,Adrian Peterson 24 yard rush (Ryan Longwell kick),0,14
2,1.0,6:25,Vikings,Donovan McNabb 4 yard rush (Ryan Longwell kick),0,21
3,1.0,2:41,Vikings,Adrian Peterson 14 yard rush (Ryan Longwell kick),0,28
4,2.0,10:29,Cardinals,Jay Feely 51 yard field goal,3,28
5,3.0,8:23,Cardinals,Beanie Wells 2 yard rush (Jay Feely kick),10,28
6,3.0,3:35,Vikings,Ryan Longwell 26 yard field goal,10,31
7,4.0,2:09,Vikings,Ryan Longwell 53 yard field goal,10,34
