,Quarter,Time,Tm,Detail,WAS,ATL
0,1.0,6:01,Falcons,Jay Feely 37 yard field goal,0,3
1,2.0,14:05,Falcons,T.J. Duckett 13 yard rush (Jay Feely kick),0,10
2,2.0,13:02,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),0,17
3,2.0,8:36,Redskins,Ladell Betts 13 yard rush (John Hall kick),7,17
4,2.0,5:37,Redskins,Rock Cartwright 1 yard rush (John Hall kick),14,17
5,2.0,3:27,Falcons,Alge Crumpler 1 yard pass from Doug Johnson (Jay Feely kick),14,24
6,2.0,0:07,Redskins,John Hall 54 yard field goal,17,24
7,3.0,9:52,Redskins,Rod Gardner 21 yard pass from Patrick Ramsey (John Hall kick),24,24
8,3.0,0:19,Redskins,"Safety,",26,24
9,4.0,12:47,Redskins,Laveranues Coles 19 yard pass from Patrick Ramsey (John Hall kick),33,24
10,4.0,2:22,Falcons,Jimmy Farris 42 yard pass from Doug Johnson (Jay Feely kick),33,31
