,Quarter,Tm,Detail,PHO,RAI
0,2.0,Raiders,Jeff Jaeger 25 yard field goal,0,3
1,2.0,Cardinals,Ernie Jones 35 yard pass from Gary Hogeboom (Al Del Greco kick),7,3
2,2.0,Raiders,Jeff Jaeger 30 yard field goal,7,6
3,3.0,Raiders,Jeff Jaeger 48 yard field goal,7,9
4,4.0,Cardinals,Jay Novacek 2 yard pass from Gary Hogeboom (Al Del Greco kick),14,9
5,4.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),14,16
