,Quarter,Tm,Detail,MIN,PIT
0,1.0,Steelers,Bennie Cunningham 3 yard pass from Cliff Stoudt (Gary Anderson kick),0,7
1,1.0,Vikings,Sam McCullum 30 yard pass from Steve Dils (Benny Ricardo kick),7,7
2,3.0,Vikings,Tony Galbreath 6 yard pass from Steve Dils (Benny Ricardo kick),14,7
3,3.0,Vikings,Benny Ricardo 39 yard field goal,17,7
4,4.0,Steelers,Cliff Stoudt 4 yard rush (Gary Anderson kick),17,14
