,Quarter,Tm,Detail,MIN,CHI
0,1,Bears,Mac Percival 12 yard field goal,0,3
1,2,Vikings,Red Phillips 35 yard pass from Joe Kapp (Fred Cox kick),7,3
2,3,Bears,Gale Sayers 7 yard rush (Mac Percival kick),7,10
3,4,Vikings,Fred Cox 25 yard field goal,10,10
