,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Jan Stenerud 37 yard field goal,0,3
1,1.0,Oilers,Ken Burrough 77 yard pass from Dan Pastorini (Skip Butler kick),7,3
2,2.0,Chiefs,Jan Stenerud 37 yard field goal,7,6
3,2.0,Chiefs,Jeff Kinney 1 yard rush (Jan Stenerud kick),7,13
4,3.0,Oilers,Ken Burrough 57 yard pass from Dan Pastorini (Skip Butler kick),14,13
5,4.0,Oilers,Skip Butler 44 yard field goal,17,13
