,Quarter,Tm,Detail,MIA,BAL
0,1.0,Colts,Ron Gardin 80 yard punt return (Jim O'Brien kick),0,7
1,2.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),0,14
2,3.0,Colts,Jim Duncan 99 yard kickoff return (Jim O'Brien kick),0,21
3,3.0,Colts,Eddie Hinton 32 yard pass from Johnny Unitas (Jim O'Brien kick),0,28
4,4.0,Colts,Tom Mitchell 15 yard pass from Earl Morrall (Jim O'Brien kick),0,35
